revision_id,decision_id,artifact,location,current_surface,default_or_fallback_action,alternate_answer_gate,source_evidence,required_verification,execution_status,selected_value,response_basis,applied_by,applied_at,notes
scope_presentation_cover,shared_scope_framing,presentation,slide 1 / shape 10,SSRP 2026 | PILOT METHODS REVIEW,Retain the five-site pilot/method framing; update only revision and date labels during the final pass.,Do not broaden this surface until additional reviewed evidence exists and both artifacts can use the same bounded claim.,docs/research/presentation/ssrp_consent_audit_presentation_draft_2026-07-22.pptx;docs/research/july22_closeout_audit_and_plan_2026-07-22.md,Exact-text check; presentation render and overflow check; cross-artifact scope check,applied_verified,five_site_pilot_method,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
scope_presentation_snapshot,shared_scope_framing,presentation,slide 5 / shape 22,"The evidence package is substantial, but still a pilot",Retain the pilot boundary and current evidence counts unless validated outputs change.,A broader empirical label requires additional reviewed evidence and a refreshed source table before this title can change.,docs/research/presentation/ssrp_consent_audit_presentation_draft_2026-07-22.pptx;data/research_package/audit_report_summary.csv;data/research_package/longitudinal_summary.csv,Evidence-count check; exact-text check; presentation render and overflow check,applied_verified,five_site_pilot_method,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
scope_presentation_closeout,shared_scope_framing,presentation,slide 10 / shape 2,Freeze a defensible pilot by August 7,Keep the closeout target bounded to a defensible pilot.,Any broader closeout claim requires reviewed evidence and synchronized presentation poster and evidence-package wording.,docs/research/presentation/ssrp_consent_audit_presentation_draft_2026-07-22.pptx;docs/research/july26_advisor_response_and_fallback_protocol_2026-07-26.md,Exact-text check; closeout-date check; presentation render and overflow check,applied_verified,five_site_pilot_method,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
scope_poster_eyebrow,shared_scope_framing,poster,slide 1 / shape header-eyebrow,SSRP 2026 | PILOT / METHOD EVIDENCE,Retain the pilot/method label.,Do not replace it with a broad empirical-study label without additional reviewed evidence and matching presentation language.,docs/research/poster/ssrp_poster_aligned_review_2026-07-25.pptx;docs/research/july25_gap_review_and_joint_packet_2026-07-25.md,Exact-text check; poster render and overflow check; cross-artifact scope check,applied_verified,five_site_pilot_method,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
scope_poster_status,shared_scope_framing,poster,slide 1 / shape status-text,"Current evidence package: pilot/method evidence, not a final 20-site dataset.",Retain this explicit evidence boundary.,Broader wording requires a reviewed expanded dataset and refreshed counts hashes and limitations.,docs/research/poster/ssrp_poster_aligned_review_2026-07-25.pptx;data/research_package/audit_report_summary.csv,Exact-text check; evidence-count check; poster render and overflow check,applied_verified,five_site_pilot_method,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
scope_poster_footer,shared_scope_framing,poster,slide 1 / shape footer-takeaway,"Contribution: a traceable audit-and-versioning workflow for consent-interface evidence. Deep, evidence-linked pilot cases are safer than broad unsupported claims.",Retain the method contribution and bounded pilot language.,Any alternate contribution claim must be supported by reviewed evidence and changed consistently in the presentation and closeout note.,docs/research/poster/ssrp_poster_aligned_review_2026-07-25.pptx;docs/research/current_project_goal_2026-07-02.md,Exact-text check; claim-source check; poster PDF and PNG render check,applied_verified,five_site_pilot_method,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
scope_evidence_manifest,shared_scope_framing,evidence_package,pre-freeze manifest / limitations,"This is a pre-freeze inventory, not a final or frozen manifest.",Keep finalized=false until the response branch final revisions and verification are recorded.,Do not mark the package final merely because files are present; require the selected response basis and final verification record.,data/closeout/closeout_prefreeze_manifest_2026-07-26.json;docs/research/july26_closeout_prefreeze_manifest_2026-07-26.md,JSON parse; manifest status check; deliverable hash check; final-note cross-check,applied_verified,five_site_pilot_method,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
cards_presentation_guardian,main_evidence_cards,presentation,slide 6 / shape 13 plus picture 22,Guardian demonstrates a visible first-screen choice interface,Keep The Guardian card screenshot caption and stored-source footer.,Replace only with a present verified screenshot and evidence note; update slide text source footer and poster card in the same revision.,docs/research/presentation/ssrp_consent_audit_presentation_draft_2026-07-22.pptx;docs/research/current_five_evidence_packet_2026-06-19.md,Screenshot hash check; source-ref check; presentation render and overflow check; poster parity check,applied_verified,guardian_and_coca_cola,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
cards_presentation_coca,main_evidence_cards,presentation,slide 7 / shape 13 plus picture 17,Coca-Cola demonstrates a visible preference center,Keep the Coca-Cola card screenshot caption and stored-source footer.,Replace only with a present verified screenshot and evidence note; update slide text source footer and poster card in the same revision.,docs/research/presentation/ssrp_consent_audit_presentation_draft_2026-07-22.pptx;docs/research/current_five_evidence_packet_2026-06-19.md,Screenshot hash check; source-ref check; presentation render and overflow check; poster parity check,applied_verified,guardian_and_coca_cola,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
cards_poster_guardian,main_evidence_cards,poster,slide 1 / shapes guardian-label picture 181 guardian-caption,EVIDENCE CARD: THE GUARDIAN,Keep the current Guardian image and bounded caption.,Replace only with a present verified screenshot and evidence note; update the presentation card and manifest hashes together.,docs/research/poster/ssrp_poster_aligned_review_2026-07-25.pptx;docs/research/current_five_evidence_packet_2026-06-19.md,Screenshot hash check; source-ref check; poster render and overflow check; presentation parity check,applied_verified,guardian_and_coca_cola,project_owner_decision,Codex,2026-07-29T11:28:28+08:00,Verified against July 29 closeout artifacts and required checks
