source_id,source_class,publisher,title,publication_date,url,locator,supports,evidence_strength,last_verified_at
S01,regulatory_decision,Legifrance/CNIL,Deliberation SAN-2021-023 concerning Google,2021-12-31,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840062,paragraphs 120-123 and 134-136,Google before state of one accept action versus at least five reject actions and the finding that the asymmetry biased choice,primary_regulator,2026-07-29
S02,company_announcement,Google,New cookie choices in Europe,2022-04-21,https://blog.google/company-news/inside-google/around-the-globe/google-europe/new-cookie-choices-in-europe/,body paragraphs beginning Based on these conversations and Soon anyone visiting Search,Google after state of equal first-screen one-click buttons and Google's direct attribution to updated guidance and specific CNIL direction,primary_company,2026-07-29
S03,regulatory_decision,Legifrance/CNIL,Deliberation SAN-2021-024 concerning Facebook,2021-12-31,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840532,findings and paragraphs 487-492,Facebook before state and finding that the interface still did not make refusal as easy as acceptance,primary_regulator,2026-07-29
S04,regulatory_followup,Legifrance/CNIL,Deliberation SAN-2022-016 closing the Facebook injunction,2022-07-11,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000046096716,facts and reasons paragraphs describing late-February changes and equivalent simplicity,Facebook after state and CNIL verification that the company satisfied the order in time,primary_regulator,2026-07-29
S05,regulatory_decision,Legifrance/CNIL,Deliberation SAN-2022-027 concerning TikTok,2022-12-29,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000046977994/,paragraphs 67-68,TikTok before state of at least three reject actions and addition of Tout refuser on 2022-02-28 plus remaining information deficiency,primary_regulator,2026-07-29
S06,regulatory_followup,CNIL,Closure of the injunction issued against ORANGE,2025-09-18,https://www.cnil.fr/en/closure-injunction-issued-against-orange,lines 10 and 18-32,Orange before and after withdrawal behavior plus the remediation steps and closure decision,primary_regulator,2026-07-29
S07,regulatory_decision,CNIL,Cookies placed without consent: vanityfair.fr fined 750000 euros,2025-11-27,https://www.cnil.fr/en/cookies-placed-without-consent-company-publishes-website-vanityfairfr-fined-750000-euros,lines 19-27,Vanity Fair's July 2022 closure followed by 2023 and 2025 findings of pre-consent cookies and ineffective refusal or withdrawal,primary_regulator,2026-07-29
S08,research_preprint,arXiv/KU Leuven and CNIL,A history of GDPR cookie banner compliance: the roles of publishers regulators and CMPs,2026-06-30,https://arxiv.org/abs/2606.31485,abstract and sections 3.3 6 and 7,External benchmark of 11364 websites showing first-layer accept and reject growth from 2.94 percent in 2018 to 30.66 percent in 2024 and correlation with regulatory activity,primary_research_preprint,2026-07-29
S09,regulatory_guidance,European Data Protection Board,Report of the work undertaken by the Cookie Banner Taskforce,2023-01-18,https://www.edpb.europa.eu/system/files/2023-01/edpb_20230118_report_cookie_banner_taskforce_en.pdf,task-force conclusions on reject buttons design and withdrawal,Common regulatory interpretation used to define component-level improvement and regression,primary_regulator,2026-07-29
S10,regulatory_decision,CNIL,Google fined 325 million euros for Gmail advertisements and cookies,2025-09-03,https://www.cnil.fr/fr/publicites-inserees-entre-les-courriels-et-cookies-la-cnil-sanctionne-google-dune-amende-de-325,section on account-creation trackers,Google added an equally easy reject button in October 2023 while informed-consent deficiencies remained,primary_regulator,2026-07-29
S11,regulatory_evaluation,CNIL,Evolution of practices on the Web regarding cookies,2023-06-21,https://www.cnil.fr/en/evolution-practices-web-regarding-cookies-cnil-evaluates-impact-its-action-plan-0,controls orders sanctions and evaluation sections,CNIL's January 2021 to August 2022 longitudinal monitoring and statement that enforcement effects often extended across European operations,primary_regulator,2026-07-29
S12,regulatory_decision,CNIL,Deliberation SAN-2025-005 concerning SHEIN,2025-09-01,https://www.cnil.fr/sites/default/files/2025-09/cnil_sanction_shein_en.pdf,"paragraphs 73-75, 101-113, 123-128, and 132-145",SHEIN's August 2023 pre-consent and ineffective-refusal observations plus the restricted committee's record that refusal and withdrawal were remediated during proceedings,primary_regulator,2026-07-30
