claim_id,research_question,claim,evidence_basis,direct_source_ids,offline_evidence,verification_status,claim_boundary
RQ1-01,RQ1,"The audit uses four separate components: path availability, path effort, transparency, and choice effectiveness.","CONCEPTS.md sections 1-3 and 5.1",,"CONCEPTS.md",verified,"The project does not collapse these components into one scalar privacy score."
RQ1-02,RQ1,"A direction label requires dated comparable states and component evidence; a raw DOM image or copy difference is not enough.","CONCEPTS.md section 5.1",,"CONCEPTS.md",verified,"Direction and causal explanation are graded separately."
RQ1-03,RQ1,"The controlled package contains 42 audit reports and 20 longitudinal summaries.","data/research_package/audit_report_summary.csv; data/research_package/longitudinal_summary.csv",,"data/research_package/research_manifest.json",verified,"These are package rows and not 62 independent sites or time points."
RQ1-04,RQ1,"All five matched local site reviews remain insufficient evidence for directional change.","data/longitudinal_directional_review_2026-07-29.csv",,"10 matched baseline/follow-up layer1 PNGs; 365 tracked capture PNGs",verified,"The local lane validates capture and comparison discipline; it does not establish improvement or regression."
RQ2-01,RQ2,"Google reduced rejection effort from at least five actions to a one-click first-layer Reject all choice.","RET-01; regulator before state plus company after announcement",S01|S02,"S01 and S02 source locator cards",verified,"Direction is moderate because the after state is a company rollout announcement."
RQ2-02,RQ2,"Facebook deployed refusal with simplicity equivalent to acceptance and CNIL later closed the injunction.","RET-02; regulator before and follow-up records",S03|S04,"S03 and S04 source locator cards",verified,"The record verifies the refusal mechanism and order response; it is not a full audit of every tracker."
RQ2-03,RQ2,"TikTok added a first-layer Tout refuser button while purpose information remained deficient.","RET-03; one regulator decision records both states",S05,"S05 source locator card",verified,"This is an effort improvement and not complete consent-system compliance."
RQ2-04,RQ2,"Orange stopped relevant cookie reads and writes on orange.fr after withdrawal and CNIL closed the order.","RET-04; regulator follow-up",S06,"S06 source locator card",verified,"Third-party cookies could remain in the browser and activity outside orange.fr was outside the recorded remedy."
RQ2-05,RQ2,"Vanity Fair later showed ineffective refusal or withdrawal after an earlier proceeding had closed.","RET-05; regulator-recorded state transition",S07,"S07 source locator card",verified,"Choice effectiveness regressed; transparency direction is not assessed and the cause is unknown."
RQ2-06,RQ2,"SHEIN remediated refusal and withdrawal behavior during regulatory proceedings.","RET-06; regulator decision",S12,"S12 source locator card and archived official PDF",verified,"The public decision does not provide the exact deployment date or prove the proceeding was the sole cause."
RQ2-07,RQ2,"Five of six purposively selected cases improved at least one component and one functionally regressed.","Computed from data/retrospective_longitudinal_cases_2026-07-29.csv",S01|S02|S03|S04|S05|S06|S07|S12,"Eight direct-source locator cards",verified,"This case-series fraction is not a web-wide prevalence estimate."
RQ2-08,RQ2,"All three first-layer cases reduced acceptance-favoring rejection asymmetry.","RET-01 through RET-03",S01|S02|S03|S04|S05,"Five direct-source locator cards",verified,"The result concerns path availability and effort; it does not imply complete informed consent."
RQ2-09,RQ2,"Concrete interactions that regulators can specify and verify show the clearest documented improvement.","Pattern synthesis across six cases and separate causal-evidence grades",S01|S02|S03|S04|S05|S06|S07|S12,"Case table; source cards; archived S12 decision",verified_with_interpretive_boundary,"This is an observational interpretation and not a universal causal estimate."
CTX-01,Context,"A separate historical study reports 11364 websites across 30 countries and growth in first-layer Accept-and-Reject availability from 2.94 percent in 2018 to 30.66 percent in 2024.","Dimova et al. 2026 abstract and sections 3.3.6 and 7",S08,"S08 source locator card",verified,"This preprint is an external benchmark and not part of the six-company sample."
